Coin,UTC_Time,Balance,BRL_spent,Mean_price
BUSD,2022-02-19 02:28:25,0.005992420000000902,0.0,0.0
LUNA,2022-03-07 17:16:16,0.014207639999999997,0.0,0.0
MATIC,2022-08-24 14:43:07,64.58042488999997,300.34178706,4.650662914831747
ETHW,2022-09-20 01:18:13,0.33923493,0.0,0.0
